Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2)
2018,749-2,64-6,2015,No,Single,,,634 Memorial Dr,"640 Memorial Dr
Cambridge, MA",,,,,Mit 640 Memorial Spe Llc.,C/O Mit Investment Management Comp.,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,106-26,204-147,2015,Yes,Parent,"106-26, 106-49, 106-46, 106-32, 106-31, 106-28",,181 Walden St,"68 Lincoln Way
Cambridge, MA",Multifamily Housing,Multifamily Housing,1950,105728,Cambridge Affordable Presidential,Apartments Llc.,85,508790.9,1735994.9,43568.99949,4356899.9,,,,,,,,,132929,6092894.8,6259753.3,57.6,6259753.3,10025768.8,10200970.3,94.8,10200970.3,364.5,3.4,4566.9,43.19
2018,439-1,133-61,2017,No,,,,25-29 Mt Auburn St,"20 Arrow St
Cambridge, MA",,,,,Roman Catholic Archbishop Of Boston,Corporation Sole,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,620-80,14-26,2016,No,Single,,,137-145 Main St,"139 Main St
Cambridge, MA",,,,,The American National Red Cross,C/O American Red Cross Of Mass. Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,252-30,172-59,2017,Yes,Single,,,1 Follen St,"1 Follen St
Cambridge, MA
(42.378184056, -71.123358661)",Nonresidential,College/University,1896,31457,Bard College Longy School Of Music,Attn: Business Office,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,439-7,133-23,2015,No,Single,,,8-10 Arrow St,"14 Arrow St
Cambridge, MA",,,,,"Dowse, Granton H., Jr.,",Irene A. M. Dowse & Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,345-10,169-93,2016,Yes,Single,,,1400 Massachusetts Ave,"1400 Massachusetts Ave
Cambridge, MA
(42.374049999, -71.118924097)",Nonresidential,Retail Store,1924,34600,Harvard Cooperative Society,"C/O Thomas A. Wagner, Jr. Cfo",,,,,,,,,,,,,,,,,,,,,,,,,,
2018,607-1,15-29,2015,No,Single,,,300 Third St,"300 Third St
Cambridge, MA",,,,,Mit 300 Third Llc,"C/O ARE Ma Region #28,Llc",,,,,,,,,,,,,,,,,,,,,,,,,,
2017,672-2,48-14,2016,No,Single,,,350 Main St,"350 Main St
Cambridge, MA
(42.362494514, -71.087195614)",Nonresidential,,,,"Firehouse Inn, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,695-1,68-77,2015,No,Single,,,26 Landsdowne St,"26 Landsdowne St
Cambridge, MA
(42.361067778, -71.098999435)",Nonresidential,,,,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,76-24,265B-26,2016,Yes,Single,,,211 Alewife Brook Pkwy,"211 Alewife Brook Pkwy
Cambridge, MA
(42.389360482, -71.142786812)",Nonresidential,Supermarket/Grocery Store,2009,30062,Linear Retail Cambridge #1 LLC,C/O Keypoint Partners,95,999176,3409189,,,,,,,,,,,,3409189,,113,,10704853,,356,,291,10,343,11
2016,673-3,70-74,2016,Yes,Single,,,209 Massachusetts Ave,"211 Massachusetts Ave
Cambridge, MA
(42.361324227, -71.096777828)",Nonresidential,Office,1904,36081,"Mit 177 Massachusetts Ave. Llc,",C/O Mitim Co,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,387-11,242B-56,2015,No,Single,,,80 Gerrys Lndg,"80 Gerrys Landing Rd
Cambridge, MA",,,,,Buckingham Browne And Nichols School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,69-3,267.4-264,2016,No,Single,,,155 Fawcett St,"155 Fawcett St
Cambridge, MA",,,,,"Art Rocks Llc,",C/O Bay Management Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,271-14,252A-153,2015,No,Single,,,66 Homer Ave,"66 Homer Ave
Cambridge, MA
(42.376162055, -71.148228865)",Residential,,,,"Fiore, Christine",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,467-3,31-20,2015,No,Child,"467-14, 467-3",,345 Binney St,"345 Binney St
Cambridge, MA",,,,,"Brown, Albert W., Austin C. Et-Al","C/O ARE-Ma Region No. 61, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,
2018,57-12,182-86,2015,No,Single,,,15 Chester St,"9 Chester St
Cambridge, MA",,,,,"Nostalgia Properties, Llc,",C/O Nostalgia Properties Llc,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,356-28,166-80,2015,No,Single,,,130 Mt Auburn St,"130 Mt Auburn St
Cambridge, MA",,,,,"Lowe, Mary Kay",B,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,527-24,76-85,2015,Yes,Single,,,243 Broadway,"243 Broadway
Cambridge, MA
(42.36727436, -71.095750026)",Residential,Multifamily Housing,1879,62428,Close Building Associates,,40,475912.4,1623813.5,31988.76687,3198876.7,,,,,,,,,,4822690.2,4753845.3,77.3,76.1,8457594.8,8334721.6,135.5,133.5,327,5.2,2137.2,
2017,398-2,165-55,2015,No,Single,,,14 University Rd,"20 University Rd
Cambridge, MA
(42.372368614, -71.123832965)",Nonresidential,,,,"Friedman, Richard L., John L. Hall III,",C/O Carpenter & Company,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,376-3,160-57,2016,No,Single,,,24 Brattle St,"18 Brattle St
Cambridge, MA
(42.37330478, -71.120188504)",Nonresidential,,,,Harvard Collection LLC,"C/O Equity One, Inc. Attn: Controller",,,,,,,,,,,,,,,,,,,,,,,,,,
2018,584-4,107-136,2015,Yes,Single,,,675 Massachusetts Ave,"675 Massachusetts Ave
Cambridge, MA",Office,Office,1961,154693,U.S. Reif Central Plaza Mass. Llc.,C/O Intercontinental Mgmt Corp,,2554664.7,8716517,45500.00052,4550000.1,,,,,,,,,,13266517,13553347,85.8,13553347,32147363.3,32448534.8,207.8,32448534.8,910,5.9,1198.1,7.75
2016,442-9,23-90,2016,No,Single,,,344 Cambridge St,"344 Cambridge St
Cambridge, MA
(42.371240608, -71.081746831)",Nonresidential,,,,East Cambridge Savings Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,59-45,268A-40,2015,Yes,Single,"59-32, 59-34, 59-43, 59-44, 59-45, 59-49",,324 Rindge Ave,"316 Rindge Ave
Cambridge, MA
(42.393682554, -71.136365001)",Residential,Multifamily Housing,2006,1,Greater Boston Properties,C/O Greater Boston Properties,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,68-21,195-169,2015,No,Single,,,120-124 Rindge Ave,"120 Rindge Ave
Cambridge, MA",,,,,"Bos Apt 1., Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,98-1,264-97,2015,No,Single,,,87 New St,"87 New St
Cambridge, MA",,,,,"New Street Residences Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,355-5,168-25,2016,No,Single,,,14-16 Story St,"14 Story St
Cambridge, MA",,,,,"14 Story Street Associates,",Ltd. Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,17-15,189-104,2018,No,,,,1 Whittemore Ave,"32 Cottage Park Ave
Cambridge, MA",,,,,Tyler Court Limited Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,290-8,170-4,2016,No,Single,,,10 Garden St,"11 Garden St
Cambridge, MA",,,,,First Church In Cambridge Congregational,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,134-17,153-71,2015,Yes,Parent,"134-17, 161-1",,17 Forest Street,"19-A Forest St
Cambridge, MA
(42.385251435, -71.116821021)",Residential,Multifamily Housing,1924,51965,Forest Street Associates Limited,Partnership,100,360720,1230776.6,9180.99981,918100,,,,,,,,,,2148876.6,2127952.4,41.4,40.9,4828643.7,4764018.8,92.9,91.7,167.8,3.2,4093.3,78.77
2016,349-24,136-39,2016,Yes,Single,,,391 Harvard St,"6 Prescott St
Cambridge, MA
(42.37254373, -71.114059013)",Nonresidential,College/University,2006,8638,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
2016,549-18,27-86,2016,Yes,Single,,,205 Bent St,"179 Bent St
Cambridge, MA
(42.367215394, -71.082699789)",Nonresidential,Data Center,1938,28100,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,17-18,189-104,2018,No,,,,1 Whittemore Ave,"34 Cottage Park Ave
Cambridge, MA",,,,,Tyler Court Limited Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,69-8,267.4-310,2016,No,Single,,,40 Smith Pl,"20 Wilson Rd
Cambridge, MA",,,,,"Div Fresh Pond 40 Smith Place, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,401-3,133-51,2016,No,Single,,,1 Bow St,"1 Bow St
Cambridge, MA
(42.372100037, -71.115728713)",Nonresidential,,,,Bow Street Associates LLC,"% Tom Wagner, Controller",,,,,,,,,,,,,,,,,,,,,,,,,,
2017,370-13,84-101,2016,No,Single,,,299-305 Prospect St,"305 Prospect St
Cambridge, MA
(42.372927282, -71.098507495)",Nonresidential,,,,"Ko, Nai Nan & Julia Koang Shih Ko,",Trs. Of K & K Realty Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,76-3,267F-301,2017,No,,,,591 Concord Ave,"591 Concord Ave
Cambridge, MA
(42.389139075, -71.145846783)",Nonresidential,,,,"Ag Fawcett, LLC",C/O Griffith Properties LLC,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,98-1,264-97,2015,No,Single,,,87 New St,"87 New St
Cambridge, MA
(42.388764475, -71.140243038)",Residential,,,,"New Street Residences LLC,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,271-14,252A-153,2015,No,Single,,,66 Homer Ave,"66 Homer Ave
Cambridge, MA",,,,,"Fiore, Christine",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,376-3,160-57,2016,No,Single,,,24 Brattle St,"18 Brattle St
Cambridge, MA
(42.37330478, -71.120188504)",Nonresidential,,,,"Brattle Square Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,76-34,267F-275,2015,No,Single,,,25-31 Wheeler St,"27 Wheeler St
Cambridge, MA
(42.389984609, -71.144225059)",Residential,,,,"Coppola, Mark D. Trustee",World 114 Nominee Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,650-5,70-90,2016,No,Single,,,15 State St,"844 Main St
Cambridge, MA
(42.36329651, -71.098375892)",Nonresidential,,,,Eighteen Sac Self-Storage Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,476-9,132-138,2015,Yes,Single,,,2 Mt Auburn Street,"2 Mt Auburn St
Cambridge, MA
(42.370102385, -71.113441761)",Residential,Multifamily Housing,1972,71582,"Hri Putnam Square, LLC",,43,658127.1,2245530,33993.36874,3399336.9,,,,,,,,,,5644866.9,5615861.9,78.9,78.5,10620268,10546174.7,148.4,147.3,397.8,5.6,2007,28.04
2018,387-31,242B-56,2015,No,Single,,,80 Gerrys Lndg,"80 Gerrys Landing Rd
Cambridge, MA",,,,,Buckingham Browne And Nichols School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,370-5,84-101,2016,No,Single,,,299-305 Prospect St,"1280 Cambridge St
Cambridge, MA
(42.373468648, -71.099105177)",Nonresidential,,,,"Ko, Nai Nan & Julia Koang Shih Ko,",Trs. Of K & K Realty Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2-1,185-59,2015,Yes,Single,,,Alewife Brook Pkwy,"45 Alewife Brook Pkwy
Cambridge, MA
(42.403555447, -71.134264338)",Nonresidential,K-12 School,1875,5700,International School of Boston,St Sava Serbian Orthdox Church  Boston,94,36466,124422,1877.9999346,187800,,,,,,,,,,312222,303573.3,54.8,53.3,587875,575966.1,103.1,101,22,3.9,4387.8,
2017,624-1,106-125,2015,Yes,Single,,,8-12 Magazine St,"10 Magazine St
Cambridge, MA
(42.364532619, -71.105059774)",Residential,Multifamily Housing,1987,119854,"EQR-Church Corner, L.L.C.",EQR-Re Tax Department,94,612526,2089939,47971,4797100,,,,,,,,,,6913783,,58,,11626374,,97,,435,4,4569,38
2018,105-1,266-40,2017,No,,,,640 Concord Ave,"640 Concord Ave
Cambridge, MA",,,,,City Of Cambridge,"C/O Neville Communities Home, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,
2016,266-1,157-69,2015,Yes,Single,,,1525-1587 Massachusetts Ave,"1533 Massachusetts Ave
Cambridge, MA
(42.377264533, -71.119901525)",Residential,Residence Hall/Dormitory,1889,62357,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",88,108632,370652.3,6157.320415,615732,,,,,,,,3089629.4,,4076013.7,4042240.3,65.4,64.8,5527317.9,5486476.1,88.6,88,273.7,4.4,1101.3,
2018,288-8,217-18,2015,Yes,Child,"288-13, 280-4, 280-7, 288-2, 288-3, 288-8, 288-9, 288-10, 288-11, 288-12, 288-13, 288-14, 288-15",,99 Brattle St,"99 3 Brattle St
Cambridge, MA",College/University,College/University,1924,210512,Episcopal Divinity School,,,799738.8,2728709.1,44103.12946,4410312.9,,,,,,,,,,7139022.1,7376133.4,33.9,7376133.4,13198975.3,13447942.2,62.7,13447942.2,443.5,2.1,2330.9,11.07
2017,748-2,65-45,2015,Yes,Parent,"748-2, 748-3, 748-5, 748-6",,20 Chestnut St,"20 Chestnut St
Cambridge, MA
(42.355667683, -71.107207946)",Residential,Multifamily Housing,1987,60737,"Trout, Bernhardt L., III",B,4,646858,2207080,91374,9137400,,,,,,,,,,11344480,11344480,187,187,16524500,16524500,272,272,674,11,3739000,61560
2016,333-3,136-2,2015,Yes,Single,,,480 Broadway,"20 Quincy St
Cambridge, MA
(42.373757622, -71.114699025)",Nonresidential,Hotel,1931,39895,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",3,784119.9,2675417.5,7087.509506,708751,,,,,,,2645088.7,3804730.5,,9833987.6,9774676.1,246.5,245,16367335.2,16304610.1,410.3,408.7,688.5,17.3,2725.1,
2018,520-1,88-11,2015,Yes,Single,,,243 Harvard St,"243 Harvard St
Cambridge, MA",Other - Recreation,Other - Recreation,1993,19405,Cambridge City Of,Recreation Dept,,176397.4,601868,13675.21132,1367521.1,,,,,,,,,,1969389.1,2048643,101.5,2048643,3325762.7,3411195,171.4,3411195,118.8,6.1,215271.1,11093.59
2018,687-3,69-173,2015,No,Single,,,64 Sidney St,"64 Sidney St
Cambridge, MA",,,,,Massachusetts Institute Of Technology,Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,267-13,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",,18 Cushing Court,"64-1 Lawn St
Cambridge, MA
(42.377854253, -71.152136992)",Nonresidential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,67,700848,2391293,146876,14687600,,,,,,,,,,17078894,18057847,85,90,22930642,23958543,114,119,984,5,16341,81
2018,232-1,257-60,2015,Yes,Parent,"232-1, 232-2",,704 Huron Ave,"700 Huron Ave
Cambridge, MA",Multifamily Housing,Multifamily Housing,1973,247000,Huron Towers Company,C/O First Realty Management Corp.,10,2804518.6,9569018.7,170115.6236,17011562.4,,,,,,,,,,26580581,27190381.6,107.6,27190381.6,47908859.1,48724505.8,194,48724505.8,1637.2,6.6,9541.1,38.63
2018,201-16,227-90,2015,Yes,Parent,"201-16, 201-7",,47 Concord Ave,"5 Bond St
Cambridge, MA",Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,1980,59701,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,387896.6,1323503.4,8293.212334,829321.2,,,,,,,,,,2152824.6,2202587.6,36.1,2202587.6,5026587.8,5078839,84.2,5078839,145.5,2.4,341.5,5.72
2017,551-2,90-95,2015,Yes,Single,,,222 Harvard St,"54 Essex St
Cambridge, MA
(42.367737259, -71.100904129)",Nonresidential,K-12 School,1900,32918,Roman Catholic Archbishop Of Boston,Corporation Sole,73,260342,888287,,,,,,,,,,,,888287,888287,27,27,2789221,2789221,85,85,68,2,216,7
2016,668-57,52A-21,2015,Yes,Single,,,33 Massachusetts Ave,"6 Vassar St
Cambridge, MA
(42.362465415, -71.090078505)",Nonresidential,College/University,1940,39121,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,646296,2205162.1,1177.00017,117700,,,,,,,,6125218.3,,8448080.4,,215.9,,14416683.3,,368.5,,626.3,16,357.6,
2017,387-23,242-38,2015,No,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",,178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.372197022, -71.137620611)",Nonresidential,,,,Shady Hill School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,241-7,144-1,2015,Yes,Single,,,2 Oxford St,"26 Oxford St
Cambridge, MA
(42.378296292, -71.116369994)",Nonresidential,College/University,1972,46135,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1287405,4392627,53,5318,,,,,,,3848887,6085256,,14332087,14401313,311,312,24968131,25077854,541,544,983,21,194,4
2018,560-31,130-144,2015,Yes,Child,"560-1,560-19, 560-20, 560-21, 560-22, 560-23, 560-25, 560-3, 560-31",,900 Memorial Dr,"900 Memorial Dr
Cambridge, MA",Multifamily Housing,Multifamily Housing,1964,489826,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",60,2288141.1,7807138.3,3530.088248,353008.8,,,,,,,,30101863.3,,38262010.5,,78.1,,61098852.2,,124.7,,2616.1,5.3,16117,32.9
2018,703-1,56-4,2015,Yes,Single,,,134 Massachusetts Ave,"134 Massachusetts Ave
Cambridge, MA",Self-Storage Facility,Self-Storage Facility,1895,202175,Massachusetts Institute Of Technology,C/O Mit Investments Management Co,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,69-4,267.4-209,2016,No,Single,,,125 Fawcett St,"135 Fawcett St
Cambridge, MA
(42.393150587, -71.148205152)",Nonresidential,,,,"Belam Realty Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
